"Registrar - NATURAL LANGUAGE PROCESSING","Mon,  27 Apr 2015 14:00 CDT","","Room: GDC 4.304"
"Registrar - ELEMS OF COMPUTERS/PROGRAMMING","Mon,  27 Apr 2015 14:00 CDT","","Room: GDC 2.216"
"Registrar - FIRST-YEAR CONNECTION SMNR-CNS","Mon,  27 Apr 2015 14:00 CDT","","Room: GDC 2.210"
"Registrar - CELL BIOLOGY","Mon,  27 Apr 2015 14:00 CDT","","Room: GDC 5.304"
"Registrar - STATISTICAL MODELING II","Mon,  27 Apr 2015 14:00 CDT","","Room: GDC 1.406"
"Registrar - MOBILE COMPUTING","Mon,  27 Apr 2015 14:00 CDT","","Room: GDC 1.304"
"Registrar - ESL Fall 2014 ","Mon,  27 Apr 2015 14:00 CDT","","Room: GDC 6.202"
"Tech Staff - code audit","Mon,  27 Apr 2015 14:30 CDT","","Room: GDC 2.104"
"Registrar - SUPPL INSTRUCTION FOR M 427K","Mon,  27 Apr 2015 15:00 CDT","","Room: GDC 2.402"
"Registrar - AMERICAN LITERATURE","Mon,  27 Apr 2015 15:00 CDT","","Room: GDC 2.210"
"Registrar - DATA CONVERTERS","Mon,  27 Apr 2015 15:00 CDT","","Room: GDC 5.304"
"Registrar - BCH 370 Office Hours ","Mon,  27 Apr 2015 15:30 CDT","","Room: GDC 4.302"
"Registrar - AESTHETICS OF GAME DESIGN","Mon,  27 Apr 2015 15:30 CDT","","Room: GDC 2.502"
"Registrar - TA Office Hours for Carlos Gillett ","Mon,  27 Apr 2015 15:30 CDT","","Room: GDC 2.410"
"Registrar - DATA MANAGEMENT","Mon,  27 Apr 2015 16:00 CDT","","Room: GDC 2.216"
"Computer Vision Reading Group","Mon,  27 Apr 2015 16:00 CDT","","Room: GDC 4.816"
"Registrar - INTRO TO COMPUTATIONAL BIO-FRI","Mon,  27 Apr 2015 16:00 CDT","","Room: GDC 1.406"
"Registrar - Office Hours Elements Program ","Mon,  27 Apr 2015 16:00 CDT","","Room: GDC 6.202"
"Recursion & Induction Seminar","Mon,  27 Apr 2015 16:20 CDT","",""
"Registrar - Learn To Be ","Mon,  27 Apr 2015 16:30 CDT","","Room: GDC 5.304"
"Registrar - RECURSION AND INDUCTION I","Mon,  27 Apr 2015 16:30 CDT","",""
"Registrar - DISTRIBUTED COMPUTING I","Mon,  27 Apr 2015 17:00 CDT","","Room: GDC 4.302"
"MyCoachLive Build Session","Mon,  27 Apr 2015 17:00 CDT","","Room: GDC 2.902"
"UTCS Study Hall (ACM)","Mon,  27 Apr 2015 17:30 CDT","","Room: GDC 2.402"
"UTCS Study Hall","Mon,  27 Apr 2015 17:30 CDT","","Room: GDC 2.410"
"Registrar - H.E.A.T. at UT ","Mon,  27 Apr 2015 17:30 CDT","","Room: GDC 6.202"
"Registrar - Toastmasters ","Mon,  27 Apr 2015 18:00 CDT","","Room: GDC 2.502"
"ISSS General Meeting","Mon,  27 Apr 2015 18:30 CDT","","Room: GDC 5.302"
"EGaDS Dev Night","Mon,  27 Apr 2015 19:00 CDT","","Room: GDC 2.104"
"Registrar - Plus SP Meeting ","Mon,  27 Apr 2015 19:00 CDT","","Room: GDC 2.502"
"Registrar - Doujin Club ","Mon,  27 Apr 2015 19:00 CDT","","Room: GDC 2.402"
"MAD Web Dev","Mon,  27 Apr 2015 19:00 CDT","","Room: GDC 2.210"
"UTACM Officer Meetings","Mon,  27 Apr 2015 20:00 CDT","","Room: GDC 4.304"
"Registrar - Texas Secular Humanists ","Mon,  27 Apr 2015 20:00 CDT","","Room: GDC 1.406"
