"Registrar - INTRODUCTORY SYMBOLIC LOGIC","Thu,  04 Dec 2014 8:00 CST","","Room: GDC 2.402"
"Registrar - INTRODUCTION TO PUBLIC HEALTH","Thu,  04 Dec 2014 8:00 CST","","Room: GDC 2.216"
"Registrar - DEVELOPMENTAL BIOLOGY","Thu,  04 Dec 2014 8:00 CST","","Room: GDC 1.406"
"Registrar - PRINCIPLES OF ANIMAL BEHAVIOR","Thu,  04 Dec 2014 8:30 CST","","Room: GDC 4.302"
"Registrar - ESL Classes ","Thu,  04 Dec 2014 9:00 CST","","Room: GDC 2.402"
"Registrar - INTRODUCTORY SYMBOLIC LOGIC","Thu,  04 Dec 2014 9:00 CST","","Room: GDC 2.502"
"Registrar - ESL Classes ","Thu,  04 Dec 2014 9:00 CST","","Room: GDC 2.410"
"Registrar - DEVELOPMENTAL BIOLOGY","Thu,  04 Dec 2014 9:00 CST","","Room: GDC 1.406"
"Registrar - STATICS","Thu,  04 Dec 2014 9:30 CST","","Room: GDC 2.216"
"Registrar - SYRIAC","Thu,  04 Dec 2014 9:30 CST","","Room: GDC 6.202"
"Registrar - PRINCIPLES OF CHEMISTRY I","Thu,  04 Dec 2014 9:30 CST","","Room: GDC 5.304"
"Registrar - GLOBAL HEALTH","Thu,  04 Dec 2014 9:30 CST","","Room: GDC 5.302"
"Registrar - ELEMENTARY MECHANICS OF FLUIDS","Thu,  04 Dec 2014 9:30 CST","","Room: GDC 4.304"
"Registrar - ATTITUDE DYNAMICS","Thu,  04 Dec 2014 9:30 CST","","Room: GDC 4.302"
"Registrar - PRINCIPLES OF INTERACTION DSGN","Thu,  04 Dec 2014 9:30 CST","","Room: GDC 2.506"
"C S 378 COMP VISION & 3D RECONSTRUCTN ","Thu,  04 Dec 2014 9:30 CST","","Room: GDC 5.100"
"C S 378 COMP VISION & 3D RECONSTRUCTN","Thu,  04 Dec 2014 9:30 CST","","Room: GDC 6.100"
"Registrar - PRINCIPLES OF ANIMAL BEHAVIOR","Thu,  04 Dec 2014 9:30 CST","","Room: GDC 2.210"
"Registrar - AUTOMATA THEORY","Thu,  04 Dec 2014 9:30 CST","","Room: GDC 1.304"
"Registrar - CELL BIOLOGY","Thu,  04 Dec 2014 10:00 CST","","Room: GDC 2.502"
"Registrar - PRINCIPLES OF COMPUTER SYS-C S","Thu,  04 Dec 2014 10:00 CST","","Room: GDC 1.406"
"Faculty Recruiting","Thu,  04 Dec 2014 11:00 CST","","Room: GDC 2.216"
"Registrar - FRACTURE MECHANICS","Thu,  04 Dec 2014 11:00 CST","","Room: GDC 2.402"
"Registrar - SYNTAX I","Thu,  04 Dec 2014 11:00 CST","","Room: GDC 5.304"
"Registrar - HEAT TRANSFER","Thu,  04 Dec 2014 11:00 CST","","Room: GDC 5.302"
"Registrar - 1-LINEAR SYSTEMS ANALYSIS","Thu,  04 Dec 2014 11:00 CST","","Room: GDC 4.304"
"Registrar - BIO 311 C Office Hours ","Thu,  04 Dec 2014 11:00 CST","","Room: GDC 4.302"
"Registrar - FIRST-YR INTEREST GROUP-ENGR","Thu,  04 Dec 2014 11:00 CST","","Room: GDC 2.502"
"Registrar - FIRST-YR INTEREST GROUP-ENGR","Thu,  04 Dec 2014 11:00 CST","","Room: GDC 2.410"
"NN Research Group Meeting","Thu,  04 Dec 2014 11:00 CST","","Room: GDC 3.816"
"ML Group Telecon","Thu,  04 Dec 2014 11:00 CST","","Room: GDC 3.416"
"Registrar - THRY OF FUNC OF CMPLX VARIABLE","Thu,  04 Dec 2014 11:00 CST","","Room: GDC 2.210"
"Registrar - PROBABIL & STOCHASTIC PROCS I","Thu,  04 Dec 2014 11:00 CST","","Room: GDC 1.304"
"MAD Interview Club","Thu,  04 Dec 2014 11:00 CST","","Room: GDC 2.104"
"MAD Interview Club","Thu,  04 Dec 2014 11:00 CST","GDC 2.104",""
"Registrar - PRINCIPLES OF ANIMAL BEHAVIOR","Thu,  04 Dec 2014 12:00 CST","","Room: GDC 2.502"
"Registrar - PRINCIPLES OF COMPUTER SYS-C S","Thu,  04 Dec 2014 12:00 CST","","Room: GDC 1.406"
"Registrar - DATA STRUCTURES","Thu,  04 Dec 2014 12:30 CST","","Room: GDC 2.216"
"Registrar - VISCOUS FLUID FLOW","Thu,  04 Dec 2014 12:30 CST","","Room: GDC 2.402"
"Registrar - ALGORITHMS AND COMPLEXITY","Thu,  04 Dec 2014 12:30 CST","","Room: GDC 1.304"
"Registrar - PHYL SIM & ANIMATN COMP GRPHCS","Thu,  04 Dec 2014 12:30 CST","","Room: GDC 6.202"
"Registrar - CELL BIOLOGY","Thu,  04 Dec 2014 12:30 CST","","Room: GDC 5.304"
"Registrar - NETWORK SECURITY AND PRIVACY","Thu,  04 Dec 2014 12:30 CST","","Room: GDC 5.302"
"Registrar - ADVANCED OPERATING SYSTEMS","Thu,  04 Dec 2014 12:30 CST","","Room: GDC 4.302"
"Registrar - 5-READING POETRY","Thu,  04 Dec 2014 12:30 CST","","Room: GDC 2.410"
"Registrar - PRINCIPLES OF ANIMAL BEHAVIOR","Thu,  04 Dec 2014 13:00 CST","","Room: GDC 2.502"
"Registrar - FIRST-YEAR INTEREST GROUP SMNR","Thu,  04 Dec 2014 13:00 CST","","Room: GDC 2.210"
"Brain Freeze Friday","Thu,  04 Dec 2014 14:00 CST","","Room: GDC 2.100"
"Tech staff - code review","Thu,  04 Dec 2014 14:00 CST","","Room: GDC 2.104"
"Registrar - DEPENDABLE COMPUTING SYSTEMS","Thu,  04 Dec 2014 14:00 CST","","Room: GDC 2.210"
"Registrar - DATA STRUCTURES","Thu,  04 Dec 2014 14:00 CST","","Room: GDC 2.216"
"Registrar - DISCRETE MATH COMP SCI: HONORS","Thu,  04 Dec 2014 14:00 CST","","Room: GDC 1.304"
"Registrar - CELL BIO HUMAN BIRTH DEFECTS","Thu,  04 Dec 2014 14:00 CST","","Room: GDC 6.202"
"Registrar - AUDITORY ELECTROPHYSIOLOGY","Thu,  04 Dec 2014 14:00 CST","","Room: GDC 5.304"
"Registrar - SUBLINEAR ALGORITHMS","Thu,  04 Dec 2014 14:00 CST","","Room: GDC 4.304"
"Registrar - CONTEMP ISSUES IN COMPUTER SCI","Thu,  04 Dec 2014 14:00 CST","","Room: GDC 4.302"
"Registrar - PRINCIPLES OF COMPUTER SYS-C S","Thu,  04 Dec 2014 14:00 CST","","Room: GDC 2.506"
"Registrar - ESL Instruction ","Thu,  04 Dec 2014 14:00 CST","","Room: GDC 2.502"
"Registrar - HVAC DESIGN","Thu,  04 Dec 2014 14:00 CST","","Room: GDC 2.410"
"Orc Research Group Meeting","Thu,  04 Dec 2014 14:00 CST","",""
"Registrar - INTERACTIVE OCEAN","Thu,  04 Dec 2014 14:00 CST","","Room: GDC 1.406"
"Brain Freeze with HBK Capital Management","Thu,  04 Dec 2014 15:00 CST","GDC Atrium",""
"Dr. Cannata Office Hours","Thu,  04 Dec 2014 15:00 CST","","Room: GDC 5.416"
"Registrar - DATA MANAGEMENT","Thu,  04 Dec 2014 15:30 CST","","Room: GDC 2.216"
"Registrar - ADVANCED COMP ARCHITECTURE","Thu,  04 Dec 2014 15:30 CST","","Room: GDC 1.304"
"Registrar - ROBERT FROST","Thu,  04 Dec 2014 15:30 CST","","Room: GDC 6.202"
"Registrar - SUPPL INSTRUCTION FOR M 427K","Thu,  04 Dec 2014 15:30 CST","","Room: GDC 5.304"
"Registrar - DISTRIBUTED COMPUTING: HON","Thu,  04 Dec 2014 15:30 CST","","Room: GDC 5.302"
"Registrar - AUTOMATED QUESTION ANSWERING","Thu,  04 Dec 2014 15:30 CST","","Room: GDC 4.304"
"Registrar - CONTEMP ISSUES IN COMPUTER SCI","Thu,  04 Dec 2014 15:30 CST","","Room: GDC 4.302"
"Registrar - GENETICS","Thu,  04 Dec 2014 15:30 CST","","Room: GDC 2.410"
"Registrar - 3-BANNED BOOKS AND NOVEL IDEAS","Thu,  04 Dec 2014 15:30 CST","","Room: GDC 1.406"
"ACT Seminar","Thu,  04 Dec 2014 15:45 CST","","Room: GDC 4.516"
"Registrar - PHY 362L Problem Practice Sessions ","Thu,  04 Dec 2014 16:00 CST","","Room: GDC 2.402"
"CS 378","Thu,  04 Dec 2014 16:00 CST","","Room: GDC 2.506"
"ACT Colloquium - Samir Khuller, University of Maryland, ""To Do or Not to Do: Scheduling to Minimize Energy""","Thu,  04 Dec 2014 16:00 CST","GDC 4.516",""
"Registrar - Learn To Be ","Thu,  04 Dec 2014 16:30 CST","","Room: GDC 2.502"
"Registrar - DATA VISUALIZATION/WAREHOUSING","Thu,  04 Dec 2014 17:00 CST","","Room: GDC 1.304"
"Registrar - DEBUGGING & VERIFYING PROGRAMS","Thu,  04 Dec 2014 17:00 CST","","Room: GDC 4.302"
"CS 303E Discussion","Thu,  04 Dec 2014 17:00 CST","","Room: GDC 2.104"
"Registrar - PRINCPLS OF COMPUTATIONAL BIO","Thu,  04 Dec 2014 17:00 CST","","Room: GDC 1.406"
"Alvisi Exam 378H","Thu,  04 Dec 2014 17:00 CST","","Room: GDC 5.302"
"CS 380L Project Presentation","Thu,  04 Dec 2014 17:00 CST","","Room: GDC 4.304"
"EGaDS General Meeting","Thu,  04 Dec 2014 18:00 CST","","Room: GDC 6.302"
"UTCS Study Hall (ACM)","Thu,  04 Dec 2014 18:00 CST","","Room: GDC 2.410"
"UTCS Study Hall (ACM)","Thu,  04 Dec 2014 18:00 CST","","Room: GDC 2.402"
"Registrar - INTERDISCIPLNRY ENTREPRENRSHP","Thu,  04 Dec 2014 18:00 CST","","Room: GDC 2.216"
"Registrar - FORMAL SEMANTICS & VERIFICATN","Thu,  04 Dec 2014 18:30 CST","","Room: GDC 4.302"
"MAD Android 101","Thu,  04 Dec 2014 18:30 CST","","Room: GDC 2.210"
"Registrar - LONGHORN STARTUP SEMINAR","Thu,  04 Dec 2014 19:00 CST","","Room: GDC 2.216"
"MAD: Advanced iOS Meeting","Thu,  04 Dec 2014 19:30 CST","","Room: GDC 2.502"
